FILHDR SYSTEM_DATE: 20160802
Lgl Veh|Step|Step Description|Cusip|SecType|SecName|Mkt Price|Factor|Orig Par|Market Value|Aloc Class Long|AvailPar Long|Aloc Class Short|AvailPar Short|Sec Nbr|Pool Nbr|Iss Date|Mat Date|Coupon|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3128M9R61|FGMC|FGG07409|107.18144|0.73974735|50000000|39643593.10|8|50000000|20|100000000|14231|G07409|20130701|20430701|3.5|
SSAM|04.03|Firm Long VS. Fail-To-Receive|3128M9R61|FGMC|FGG07409|107.18144|0.73974735|50000000|39643593.10|4|50000000|20|50000000|14231|G07409|20130701|20430701|3.5|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|31300MNR0|FHAR|FH849400|103.1244|0.69715506|19868966|14284534.27|8|19868966|20|39737932|14237|849400|20140601|20440701|2.664|
SSAM|04.03|Firm Long VS. Fail-To-Receive|31300MNR0|FHAR|FH849400|103.1244|0.69715506|19868966|14284534.27|4|19868966|20|19868966|14237|849400|20140601|20440701|2.664|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|31326FDF2|FHAR|FH2B1002|102.89989|0.50538737|40284458|20949652.32|8|40284458|20|80568916|14236|2B1002|20121201|20421201|2.176|
SSAM|04.03|Firm Long VS. Fail-To-Receive|31326FDF2|FHAR|FH2B1002|102.89989|0.50538737|40284458|20949652.32|4|40284458|20|40284458|14236|2B1002|20121201|20421201|2.176|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3138ETM29|FARI|FNAL8476|105.70869|0.94574403|25000000|24993340.62|8|25000000|20|50000000|14233|AL8476|20160401|20360501|2.681|
SSAM|04.03|Firm Long VS. Fail-To-Receive|3138ETM29|FARI|FNAL8476|105.70869|0.94574403|25000000|24993340.62|4|25000000|20|25000000|14233|AL8476|20160401|20360501|2.681|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3140ECKT5|FNCI|FNBA7505|105.58867|0.99461079|5207578|5468979.17|8|5207578|20|10415156|14235|BA7505|20160601|20310601|3|
SSAM|04.03|Firm Long VS. Fail-To-Receive|3140ECKT5|FNCI|FNBA7505|105.58867|0.99461079|5207578|5468979.17|4|5207578|20|5207578|14235|BA7505|20160601|20310601|3|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3140F8DF1|FNCL|FNBD1001|105.44754|0.99829658|50000000|52633959.28|8|50000000|20|75000000|14229|BD1001|20160601|20460401|3.5|
SSAM|04.03|Firm Long VS. Fail-To-Receive|3140F8DF1|FNCL|FNBD1001|105.44754|0.99829658|25000000|26316979.64|4|25000000|20|25000000|14229|BD1001|20160601|20460401|3.5|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3140F8DH7|FNCL|FNBD1003|107.16952|0.99858905|10741352|11495213.29|8|10741352|20|21482704|14230|BD1003|20160601|20460401|4|
SSAM|04.03|Firm Long VS. Fail-To-Receive|3140F8DH7|FNCL|FNBD1003|107.16952|0.99858905|10741352|11495213.29|4|10741352|20|10741352|14230|BD1003|20160601|20460401|4|
SSAM|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|31417GTH9|FNCL|FNAB9551|104.44337|0.78270351|50000000|40874096.15|8|50000000|20|100000000|14234|AB9551|20130501|20430601|3|
SSAM|04.03|Firm Long VS. Fail-To-Receive|31417GTH9|FNCL|FNAB9551|104.44337|0.78270351|50000000|40874096.15|4|50000000|20|50000000|14234|AB9551|20130501|20430601|3|
SSLI|04.08|Firm Long VS. Box|31418BVN3|FNCK|FNMA2420|103.41644|0.8409627|1000000|869693.69|4|1000000|21|1000000|13553|MA2420|20150901|20451001|3.5|
SSS|06.09|Resale VS. Box|31281BWA4|FGRC|FGN31541|104.135|0.36375697|2500000|946995.80|5|2500000|21|2500000|13859|N31541|20111001|20411101|3.5|
SSS|06.09|Resale VS. Box|31283W3H3|FGP5|FGP08000|112.44333|0.18498548|2900001|603211.33|5|2900001|21|2900001|4913|P08000|20100801|20370801|6|
SSS|10.10|Customer Long (Free) VS. Box|3128E4E32|FGTW|FGD97354|112.93856|0.18754819|13613667|2883568.33|2|13613667|21|13613667|5392|D97354|20060301|20240501|5.5|
SSS|06.09|Resale VS. Box|3128E52P3|FGTW|FGD98882|107.16922|0.49878362|4933085|2636943.66|5|4933085|21|4933085|10048|D98882|20111201|20320101|4|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128E55F2|FGTW|FGD98946|106.68444|0.41249693|3999809|1760196.11|9|3999809|21|3999809|13763|D98946|20120201|20320201|3.5|
SSS|06.09|Resale VS. Box|3128E5N70|FGTW|FGD98514|112.60578|0.29692631|5966190|1994832.54|5|5966190|21|5966190|9248|D98514|20101201|20310101|5|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128E5ZQ5|FGTW|FGD98851|107.94122|0.46410688|9178964|4598317.93|9|9178964|21|9178964|7079|D98851|20111101|20311201|4|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128E6C54|FGTW|FGD99092|106.71944|0.58648157|815000|510100.23|9|815000|21|815000|14160|D99092|20120301|20320401|3.5|
SSS|10.10|Customer Long (Free) VS. Box|3128HDY60|FHAR|FH847033|104.88264|0.00541705|81371703|462317.00|2|81371703|21|81371703|3010|847033|20020601|20320701|2.816|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128HDZN2|FHAR|FH847049|105.10366|0.04067155|31777329|1358394.62|9|31777329|21|31777329|13474|847049|20020701|20300101|2.818|
SSS|10.10|Customer Long (Free) VS. Box|3128JQCL0|FHAR|FH1B4674|104.61119|0.13282519|30019499|4171209.74|2|30019499|21|30019499|4682|1B4674|20100401|20400401|3.814|
SSS|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3128JQDA3|FHAR|FH1B4696|104.29381|0.20417328|19131460|4073854.87|8|19131460|20|19131460|11026|1B4696|20100401|20400401|3.025|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128JQDA3|FHAR|FH1B4696|104.29381|0.20417328|19131460|4073854.87|9|19131460|21|19131460|11026|1B4696|20100401|20400401|3.025|
SSS|10.10|Customer Long (Free) VS. Box|3128JQEF1|FHAR|FH1B4733|105.42721|0.14867971|25296846|3965252.03|2|25296846|21|25296846|5744|1B4733|20100601|20400601|3.998|
SSS|10.10|Customer Long (Free) VS. Box|3128JQK72|FHAR|FH1B4917|104.91963|0.08434553|15032350|1330288.08|2|15032350|21|15032350|6495|1B4917|20100801|20400801|3.174|
SSS|10.10|Customer Long (Free) VS. Box|3128K5ZE5|FGMC|FGA45241|116.74033|0.20554375|9395332|2254432.95|2|9395332|21|9395332|11203|A45241|20050501|20350201|6|
SSS|09.10|Fail-To-Deliver (Current) VS. Box|3128KALM1|FGMC|FGA49332|116.64511|0.05982497|31109081|2170881.95|8|31109081|21|31109081|13381|A49332|20060501|20360601|6.5|
SSS|09.10|Fail-To-Deliver (Current) VS. Box|3128KASM4|FGMC|FGA49524|114.47211|0.09394278|20808239|2237682.28|8|20808239|21|20808239|13382|A49524|20060601|20360601|6.5|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LL2V7|FHAR|FH2B0788|103.17874|0.55978771|5884211|3398613.80|9|5884211|21|5884211|11581|2B0788|20120901|20421001|2.294|
SSS|01.01|Customer Long (Memo) VS. Box|3128LLCK0|FHAR|FH2B0074|104.86757|0.1420163|25041481|3729403.80|1|25041481|21|25041481|9936|2B0074|20111201|20411201|2.443|
SSS|10.06|Customer Long (Free) VS. Fail-To-Receive|3128LLCK0|FHAR|FH2B0074|104.86757|0.1420163|25041481|3729403.80|2|25041481|20|25041481|9936|2B0074|20111201|20411201|2.443|
SSS|06.09|Resale VS. Box|3128LLEZ5|FHAR|FH2B0152|104.23901|0.24026487|50285758|12594054.10|5|50285758|21|50285758|13983|2B0152|20120101|20420101|2.342|
SSS|10.10|Customer Long (Free) VS. Box|3128LLFB7|FHAR|FH2B0162|103.60599|0.37697615|40171426|15689748.72|2|40171426|21|40171426|11754|2B0162|20120101|20420101|2.519|
SSS|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3128LLG34|FHAR|FH2B0218|103.73136|0.36480896|25040616|9475902.35|8|25040616|20|25040616|8716|2B0218|20120101|20420201|2.765|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LLG34|FHAR|FH2B0218|103.73136|0.36480896|25040616|9475902.35|9|25040616|21|25040616|8716|2B0218|20120101|20420201|2.765|
SSS|10.10|Customer Long (Free) VS. Box|3128LLHC3|FHAR|FH2B0227|105.01941|0.1712227|22239533|3999047.65|2|22239533|21|22239533|11750|2B0227|20120201|20420201|2.233|
SSS|10.10|Customer Long (Free) VS. Box|3128LLHD1|FHAR|FH2B0228|103.30034|0.22856208|22363118|5280053.05|2|22363118|21|22363118|11749|2B0228|20120201|20420201|2.222|
SSS|10.10|Customer Long (Free) VS. Box|3128LLJY3|FHAR|FH2B0279|103.65264|0.39720879|30017026|12358531.81|2|30017026|21|30017026|11755|2B0279|20120201|20420301|2.815|
SSS|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3128LLKE5|FHAR|FH2B0293|103.62944|0.38227685|35204573|13946339.43|8|35204573|20|35204573|8827|2B0293|20120201|20420301|2.78|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LLKE5|FHAR|FH2B0293|103.62944|0.38227685|35204573|13946339.43|9|35204573|21|35204573|8827|2B0293|20120201|20420301|2.78|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LLKW5|FHAR|FH2B0309|103.98979|0.29048002|12403000|3746568.79|9|12403000|21|12403000|13475|2B0309|20120301|20420301|2.303|
SSS|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3128LLKY1|FHAR|FH2B0311|104.94823|0.46457138|50112333|24432741.03|8|50112333|20|100112333|8828|2B0311|20120301|20420301|3.102|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LLKY1|FHAR|FH2B0311|104.94823|0.46457138|112333|54769.01|9|50112333|21|112333|8828|2B0311|20120301|20420301|3.102|
SSS|12.11|Fail-To-Deliver (Aged) VS. Fail-To-Receive|3128LLKY1|FHAR|FH2B0311|104.94823|0.46457138|50000000|24377972.02|9|50000000|20|50000000|8828|2B0311|20120301|20420301|3.102|
SSS|10.06|Customer Long (Free) VS. Fail-To-Receive|3128LLNS1|FHAR|FH2B0401|103.26654|0.48855845|50000000|25225870.36|2|50124304|20|50000000|10712|2B0401|20120401|20420401|2.437|
SSS|10.10|Customer Long (Free) VS. Box|3128LLNS1|FHAR|FH2B0401|103.26654|0.48855845|124304|62713.53|2|124304|21|124304|10712|2B0401|20120401|20420401|2.437|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LLRQ1|FHAR|FH2B0495|103.25289|0.51249156|9810000|5191082.62|9|9810000|21|9810000|9984|2B0495|20120501|20420601|2.681|
SSS|10.06|Customer Long (Free) VS. Fail-To-Receive|3128LLSA5|FHAR|FH2B0513|103.0826|0.48374|89764692|44761322.48|2|100332119|20|89764692|9663|2B0513|20120501|20420501|2.448|
SSS|10.10|Customer Long (Free) VS. Box|3128LLSA5|FHAR|FH2B0513|103.0826|0.48374|10567427|5269466.17|2|10567427|21|10567427|9663|2B0513|20120501|20420501|2.448|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LLWK8|FHAR|FH2B0650|103.23726|0.54938439|5796335|3287503.79|9|5796335|21|5796335|12777|2B0650|20120701|20420701|2.386|
SSS|10.06|Customer Long (Free) VS. Fail-To-Receive|3128LLXT8|FHAR|FH2B0690|103.24318|0.50148079|26265169|13598652.43|2|49805564|20|26265169|8370|2B0690|20120801|20420801|2.372|
SSS|10.10|Customer Long (Free) VS. Box|3128LLXT8|FHAR|FH2B0690|103.24318|0.50148079|23540395|12187915.09|2|23540395|21|23540395|8370|2B0690|20120801|20420801|2.372|
SSS|10.03|Customer Long (Free) VS. Repo|3128LLYD2|FHAR|FH2B0708|103.25796|0.4886333|30|15.14|2|50318238|15|30|8369|2B0708|20120801|20420801|2.333|
SSS|10.06|Customer Long (Free) VS. Fail-To-Receive|3128LLYD2|FHAR|FH2B0708|103.25796|0.4886333|50000000|25227638.87|2|50318208|20|50000000|8369|2B0708|20120801|20420801|2.333|
SSS|10.10|Customer Long (Free) VS. Box|3128LLYD2|FHAR|FH2B0708|103.25796|0.4886333|318208|160552.73|2|318208|21|318208|8369|2B0708|20120801|20420801|2.333|
SSS|10.03|Customer Long (Free) VS. Repo|3128LLYN0|FHAR|FH2B0717|102.93729|0.47555374|47|23.01|2|49392015|15|47|11756|2B0717|20120801|20420801|2.393|
SSS|10.06|Customer Long (Free) VS. Fail-To-Receive|3128LLYN0|FHAR|FH2B0717|102.93729|0.47555374|49391968|24178461.50|2|49391968|20|49392015|11756|2B0717|20120801|20420801|2.393|
SSS|06.09|Resale VS. Box|3128LLYR1|FHAR|FH2B0720|102.78626|0.51503423|19670382|10413193.82|5|19670382|21|19670382|13984|2B0720|20120801|20420901|2.387|
SSS|10.10|Customer Long (Free) VS. Box|3128LLZS8|FHAR|FH2B0753|102.77874|0.40745321|15044235|6300153.65|2|15044235|21|15044235|10713|2B0753|20120801|20420901|2.473|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LU2X3|FHAR|FH1J0790|106.04033|0.21534344|30911903|7058760.70|9|30911903|21|30911903|8825|1J0790|20071201|20371201|2.76|
SSS|03.08|Fail-To-Deliver (Current) VS. Fail-To-Receive|3128LULC8|FHAR|FH1J0323|105.19223|0.23510558|11732151|2901511.14|8|11732151|20|11732151|6738|1J0323|20070201|20370301|2.742|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LULC8|FHAR|FH1J0323|105.19223|0.23510558|11732151|2901511.14|9|11732151|21|11732151|6738|1J0323|20070201|20370301|2.742|
SSS|10.10|Customer Long (Free) VS. Box|3128LUS49|FHAR|FH1J0539|106.05227|0.01837289|50267207|979449.84|2|50267207|21|50267207|6755|1J0539|20070701|20370701|2.928|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128LUSX5|FHAR|FH1J0534|106.12906|0.29304484|15030519|4674577.60|9|15030519|21|15030519|10782|1J0534|20070701|20370701|2.89|
SSS|12.01|Fail-To-Deliver (Aged) VS. Box|3128M6AC2|FGMC|FGG04203|114.88011|0.02389761|21815270|598907.71|9|21815270|21|21815270|6007|G04203|20080401|20380501|6.5|
