TTRDR,TARBN,TKMKT,TKTIN,TKICC,TKIC2,TKIC3,TKMDT,TKCSP,TKSFX,TTRDT,TTRNO,TTRNP,TCTPR,TMKDP,TMKPR,TCNSS,TTRNA,TCTAM,TCMAM,TCCAM,TSTAM,TTCOM,TCMOR,TCMOV,TNAME,TCRVI,TPSIN,TCACT,TSPCD,TSTDT,TDBEI,TPRIN,TAINT,TFLAM,TCFLM,TMTNO,TRTID,TRMIL,TRPOL,TTBAM,TCOMC,TTTOC,TSAMT,TDOVR,TVERF,TTIME,TDATE,TJIOF,TFSOD,TFADJ,TCLAM,TWICF,TDACT,TVUSR,TBDSF,TUSER,TPOCG,TPODT,TPONO,TPOFA,TUPNO,TMHIN,TBACT,TSPNO,TACAM,TFTCH,TDYLD,TFMAM,TFACM,TCLFG,TGTID,TSGAC,TCLST,TASDT,TBAOV,TCCNS,TPIOV,TTFEE,TSCOR,TSCOV,TTSCR,TNCFF,TMSFF,TCHSC,TPOOL,TCFDL,TFDAD,TCLDM,TFDSD,TCMIN,TDVDT,TTNSC,TSECC,TSTCC,TEXRT,TVLDT,TNIOF,TPWFG,TIDFG,TENCD,TDPCD,TPOFM,TWIDP,TETID,TTBXF,TEDFG,TKCUR,TSTSC,TSERF,TPAOF,TBERT,TDFBC,TTMMF,TAMCD,TTASP,TTCEF,TGRPA,TLSML,TTFE2,TTFE3,TTFE4,TPAZP,TMBDA,TCNTA,TCNFA,TCNCA,TCNSA,TCNFM,TXPTP,TBLOT,TRPMR,TRMRD,TRZMD,TRMPR,TSLTY,TMKUP,TAUES,TSCUC,TMKPH,TAUEI,THANM,TTGCA,TTGMF,TTDRG,TOLNK,TOLNO,TZSTF,TLTAM,TFLRC,TPMOD,TACBC,TPYAC,TSDOF,TECRT,TEFCR,TSFKG,TCFCM,TDFCM,TCYLD,TFPAZ,TCHOD,TCHOV,TTXB1,TTXB2,TOASD,TOAOP,TOAPR,TPROA,TOAFA,TOAYL,TTPPY,TBPPY,TCHCK,TPTRD,THRID,TXDAI,TESPC,TGPSI,TEXTS,TPDFL,TFMDA,TEFPV,TEFBV,TPFBV,TLBYF,TLTPR,TLOPL,TAVDT,TLAAD,TDPCN,TAPCN,TADAM,TCMSF,TBTC1,TBTC2,TBTC3,TSHFG,TMDCF,TINCD,TCDCO,TSSDT,TSSPR,TSXDT,TSXPR,TOSTD,TORPL,TPYLD,TPYLT,TYCDT,TPZDT,TWAVP,TREOF,TTAPP,TMCOG,TCNST,TFDTF,TPTPF,TSSTP,TSXTP,TTAZP,TSSTD,TSXTD,TSPRC,TCNFY,TSARD,TSAPR,TSART,TDORI,TDOSI,TSBTY,TEID2,TOBMP,TCLCN,TDVRF,TSYTF,TSBOA,TDRID,TCSDT,TLITI,TLIRC,TPOCM,TTAAM,TNNER,TOFRD,TOFCD,TCDEP,TSYNI,TTRD2,TEEXR,TROFB,TSLVC,TEHMS,TORDT,TORPR,TORLD,TORTI,TIEDC,TBCEF,TPBCS,TEQFG,TSPRN,TSAIN,TPICO,TSBID,TSRSP,TRFRT,TMBTT,TTRRT,TPIMR,TCNYL,TMPOL,TTLCI,TFLTD,TTMCY,TCAPF,TCDPI,TTRPP,TCTME,TCDTE,TRERC,TSMMY,TBDPO,TBDPR,TBDAI,TEMPI,TCHCT,TSRCE,TPBPD,TCTWH,TTAXT,TEXVN,TPRTD,TPPAI,TCPID,TINRT,TAPIN,TCKDA,TCKTM,TCKUS,TSCTT,TOATD,TTPNC,TTNIN,TTNAT,TTNGL,TTNGS,TTNGT,TSRTO,TSPRI,TEPRI,TTPAM,THIOF,TAMPI,TPNLI,TBGFD
ALPS,0,5,5,10,      ,      ,20260515,0,828R36 ,20160715,1,100.8671875,100.8671877,100.8671877,100.8671877,        ,3,3,3,0,3,0,0, ,C   TR  NT     1.625   05/15/26,   ,P,FF04250     ,5GQ,20160718, ,3026015.63,8478.26,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,140248,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,12, ,            ,0,3, ,           ,3,3,Y,           ,      , ,0, ,0,3,0,         , ,0, , ,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160718, , , ,SI  ,  ,0,            ,1SG35GR007152016    , ,0,10,10, , ,100,            , , ,0,1,CJPCLUS     ,0,0,0,0,0,      ,3000000,0,3000000,3000000,3000000,100.8671875,  ,0,        ,        ,0,   ,0,   , , , ,14:02,0, ,    ,               , , ,3,   , ,      ,                    ,   ,100,1.625, ,0,               ,1.5295,0, ,Y,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,GTE,P,100000,0,0,0, ,0,0,        ,0,0,0,3, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20260515,20260515,0, ,0, ,N, , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,TEST-26589:0        , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,14:02:00,        ,            ,            , , , ,            , ,3026015.63,8478.26, ,                    ,0,0, ,  , ,            ,1, , , ,0,0,0,14.02.48,20160715, ,0,1,3026015.63,8478.26,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
ALPS,0,5,5,10,      ,      ,20260515,0,828R36 ,20160715,2,100.8671875,100.8671875,100.8671875,100.8671875,        ,4,4,4,0,4,0,0, ,C   TR  NT     1.625   05/15/26,   ,P,FF04250     ,5GQ,20160718, ,4034687.5,11304.35,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,140251,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,12, ,            ,0,4, ,           ,4,4,Y,           ,      , ,0, ,0,3,0,         , ,0, , ,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160718, , , ,SI  ,  ,0,            ,1SG35GS007152016    , ,0,10,10, , ,100,            , , ,0,1,CJPCLUS     ,0,0,0,0,0,      ,4000000,0,4000000,4000000,4000000,100.8671875,  ,0,        ,        ,0,   ,0,   , , , ,14:02,0, ,    ,               , , ,4,   , ,      ,                    ,   ,100,1.625, ,0,               ,1.5295,0, ,Y,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,GTE,P,100000,0,0,0, ,0,0,        ,0,0,0,4, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20260515,20260515,0, ,0, ,N, , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,TEST-26617:0        , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,14:02:00,        ,            ,            , , , ,            , ,4034687.5,11304.35, ,                    ,0,0, ,  , ,            ,1, , , ,0,0,0,14.02.51,20160715, ,0,1,4034687.5,11304.35,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
ALPS,0,5,5,10,      ,      ,20260515,0,828R36 ,20160715,3,100.8671875,100.8671876,100.8671876,100.8671876,        ,5,5,5,0,5,0,0, ,C   TR  NT     1.625   05/15/26,   ,P,FF04250     ,5GQ,20160718, ,5043359.38,14130.43,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,140255,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,12, ,            ,0,5, ,           ,5,5,Y,           ,      , ,0, ,0,3,0,         , ,0, , ,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160718, , , ,SI  ,  ,0,            ,1SG35GT007152016    , ,0,10,10, , ,100,            , , ,0,1,CJPCLUS     ,0,0,0,0,0,      ,5000000,0,5000000,5000000,5000000,100.8671875,  ,0,        ,        ,0,   ,0,   , , , ,14:02,0, ,    ,               , , ,5,   , ,      ,                    ,   ,100,1.625, ,0,               ,1.5295,0, ,Y,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,GTE,P,100000,0,0,0, ,0,0,        ,0,0,0,5, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20260515,20260515,0, ,0, ,N, , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,TEST-26618:0        , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,14:02:00,        ,            ,            , , , ,            , ,5043359.38,14130.43, ,                    ,0,0, ,  , ,            ,1, , , ,0,0,0,14.02.55,20160715, ,0,1,5043359.38,14130.43,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
DMM1,0,5,11,AGF ,      ,      ,20190615,1.5,223616,20160715,4, 90        P,90,90,90,        ,10,10,10,0,10,0,0, ,C   AGY AGY    1.5     06/15/19,   ,P,9999990,   ,20160712, ,9000000,11250,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,152101,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,13, ,            ,0,10, ,           ,10,10,Y,           ,      , ,20160712, ,0,0,0,         , ,0, ,1,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160712, , , ,SI  ,  ,0,            ,715001, ,0,10,10, , ,100,            , , ,0, ,WBUH60      ,0,0,0,0,0,      ,10000000,0,10000000,10000000,10000000,90,  ,0,        ,        ,0,   ,                 ,   , , , ,15:21,0, ,    ,               , , ,10,   , ,      ,                    ,   ,100,1.5, ,0,               ,0,0, , ,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,   ,D,100000,0,0,0, ,0,0,        ,0,0,0,10, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20190615,20190615,0, ,0, , , , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,                    , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,15:21:01,        ,            ,            , , , ,            , ,9000000,11250, ,                    ,0,0, ,  , ,            ,1, , , ,0,0, ,15.21.01,20160715, ,0,1,9000000,11250,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
DMM1,0,5,11,AGF ,      ,      ,20190615,1.5,223616,20160715,5, 90        P,90,90,90,        ,10,10,10,0,10,0,0, ,C   AGY AGY    1.5     06/15/19,   ,P,L005050     ,   ,20160712, ,9000000,11250,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,152117,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,13, ,            ,0,10, ,           ,10,10,Y,           ,      , ,20160712, ,0,0,0,         , ,0, ,1,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160712, , , ,SI  ,  ,0,            ,715002, ,0,10,10, , ,100,            , , ,0, ,BBSUIFR     ,0,0,0,0,0,      ,10000000,0,10000000,10000000,10000000,90,  ,0,        ,        ,0,   ,                 ,   , , , ,15:21,0, ,    ,               , , ,10,   , ,      ,                    ,   ,100,1.5, ,0,               ,0,0, , ,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,   ,D,100000,0,0,0, ,0,0,        ,0,0,0,10, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20190615,20190615,0, ,0, , , , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,                    , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,15:21:17,        ,            ,            , , , ,            , ,9000000,11250, ,                    ,0,0, ,  , ,            ,1, , , ,0,0, ,15.21.17,20160715, ,0,1,9000000,11250,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
DMM1,0,5,11,AGF ,      ,      ,20190615,1.5,223616,20160715,6, 90        P,90,90,90,        ,10,10,10,0,10,0,0, ,C   AGY AGY    1.5     06/15/19,   ,P,FF22040     ,   ,20160712, ,9000000,11250,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,152117,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,13, ,            ,0,10, ,           ,10,10,Y,           ,      , ,20160712, ,0,0,0,         , ,0, ,1,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160712, , , ,SI  ,  ,0,            ,715003, ,0,10,10, , ,100,            , , ,0, ,BBCBRBR     ,0,0,0,0,0,      ,10000000,0,10000000,10000000,10000000,90,  ,0,        ,        ,0,   ,                 ,   , , , ,15:21,0, ,    ,               , , ,10,   , ,      ,                    ,   ,100,1.5, ,0,               ,0,0, , ,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,   ,D,100000,0,0,0, ,0,0,        ,0,0,0,10, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20190615,20190615,0, ,0, , , , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,                    , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,15:21:17,        ,            ,            , , , ,            , ,9000000,11250, ,                    ,0,0, ,  , ,            ,1, , , ,0,0, ,15.21.17,20160715, ,0,1,9000000,11250,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
DMM1,0,5,11,AGF ,      ,      ,20190615,1.5,223616,20160715,7, 90        P,90,90,90,        ,10,10,10,0,10,0,0, ,C   AGY AGY    1.5     06/15/19,   ,P,CC35480     ,   ,20160712, ,9000000,11250,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,152117,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,13, ,            ,0,10, ,           ,10,10,Y,           ,      , ,20160712, ,0,0,0,         , ,0, ,1,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160712, , , ,SI  ,  ,0,            ,715004, ,0,10,10, , ,100,            , , ,0, ,BBOFAUS     ,0,0,0,0,0,      ,10000000,0,10000000,10000000,10000000,90,  ,0,        ,        ,0,   ,                 ,   , , , ,15:21,0, ,    ,               , , ,10,   , ,      ,                    ,   ,100,1.5, ,0,               ,0,0, , ,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,   ,D,100000,0,0,0, ,0,0,        ,0,0,0,10, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20190615,20190615,0, ,0, , , , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,                    , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,15:21:17,        ,            ,            , , , ,            , ,9000000,11250, ,                    ,0,0, ,  , ,            ,1, , , ,0,0, ,15.21.17,20160715, ,0,1,9000000,11250,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
DMM1,0,5,11,AGF ,      ,      ,20190615,1.5,223616,20160715,8, 90        P,90,90,90,        ,10,10,10,0,10,0,0, ,C   AGY AGY    1.5     06/15/19,   ,P,FF87720     ,   ,20160712, ,9000000,11250,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,152117,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,13, ,            ,0,10, ,           ,10,10,Y,           ,      , ,20160712, ,0,0,0,         , ,0, ,1,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160712, , , ,SI  ,  ,0,            ,715005, ,0,10,10, , ,100,            , , ,0, ,CHLAAUS     ,0,0,0,0,0,      ,10000000,0,10000000,10000000,10000000,90,  ,0,        ,        ,0,   ,                 ,   , , , ,15:21,0, ,    ,               , , ,10,   , ,      ,                    ,   ,100,1.5, ,0,               ,0,0, , ,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,   ,D,100000,0,0,0, ,0,0,        ,0,0,0,10, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20190615,20190615,0, ,0, , , , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,                    , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,15:21:17,        ,            ,            , , , ,            , ,9000000,11250, ,                    ,0,0, ,  , ,            ,1, , , ,0,0, ,15.21.17,20160715, ,0,1,9000000,11250,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
DMM1,0,5,11,AGF ,      ,      ,20190615,1.5,223616,20160715,9, 90        P,90,90,90,        ,10,10,10,0,10,0,0, ,C   AGY AGY    1.5     06/15/19,   ,P,NN78080     ,   ,20160712, ,9000000,11250,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,152118,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,13, ,            ,0,10, ,           ,10,10,Y,           ,      , ,20160712, ,0,0,0,         , ,0, ,1,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160712, , , ,SI  ,  ,0,            ,715006, ,0,10,10, , ,100,            , , ,0, ,CQULCUS     ,0,0,0,0,0,      ,10000000,0,10000000,10000000,10000000,90,  ,0,        ,        ,0,   ,                 ,   , , , ,15:21,0, ,    ,               , , ,10,   , ,      ,                    ,   ,100,1.5, ,0,               ,0,0, , ,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,   ,D,100000,0,0,0, ,0,0,        ,0,0,0,10, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20190615,20190615,0, ,0, , , , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,                    , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,15:21:18,        ,            ,            , , , ,            , ,9000000,11250, ,                    ,0,0, ,  , ,            ,1, , , ,0,0, ,15.21.18,20160715, ,0,1,9000000,11250,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
DMM1,0,5,11,AGF ,      ,      ,20190615,1.5,223616,20160715,10, 90        P,90,90,90,        ,10,10,10,0,10,0,0, ,C   AGY AGY    1.5     06/15/19,   ,P,JJ72500     ,   ,20160712, ,9000000,11250,            ,0,999999999,               ,0, ,           ,    , ,0, ,V,152118,20160715, ,0,0,0, ,100000,*EXTERNAL , ,*EXTERNAL , ,0,0,0,13, ,            ,0,10, ,           ,10,10,Y,           ,      , ,20160712, ,0,0,0,         , ,0, ,1,  ,1,0,0,0,0, ,0,0,USD,USD,100,20160712, , , ,SI  ,  ,0,            ,715007, ,0,10,10, , ,100,            , , ,0, ,CSBAFUS     ,0,0,0,0,0,      ,10000000,0,10000000,10000000,10000000,90,  ,0,        ,        ,0,   ,                 ,   , , , ,15:21,0, ,    ,               , , ,10,   , ,      ,                    ,   ,100,1.5, ,0,               ,0,0, , ,   ,      ,0,            ,0,0,0,0,0,0, ,          ,                    ,   ,   ,                         ,   ,D,100000,0,0,0, ,0,0,        ,0,0,0,10, ,  ,  ,  ,Y, , , ,        ,0,        ,0,        ,1,0,        ,20190615,20190615,0, ,0, , , , ,0,0,0,        ,        ,    ,0,        ,0, ,0, ,    ,                    , ,1, , , ,                    ,        ,                    , ,0,0, , ,    ,      ,          ,    ,100,            ,      ,15:21:18,        ,            ,            , , , ,            , ,9000000,11250, ,                    ,0,0, ,  , ,            ,1, , , ,0,0, ,15.21.18,20160715, ,0,1,9000000,11250,     ,  ,   , ,0,  ,         ,               ,     ,     ,0, ,        ,        ,          , ,0,            , ,   ,                              ,0,0, ,0,0,0, ,    ,                              ,                                                                                                                                                                                                                                                                
